Date,Index,Expiry,Type,Strike,Qty,Entry_Price,Entry_Time,Exit_Price,Exit_Time,PL,Exit_Reason,Instr_PL,Instr_Category,Day_PL,Day_Category,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Change_Pct
16-07-2026,SENSEX,16-Jul-2026,CE,77500,20,101.05,11:45,0.15,15:14,2018.0,EOD,991.0,₹50 SL only,-55.0,Mixed: ₹50+BE + ₹50 SL,13.27,13.27,12.78,12.88,-2.94
17-07-2026,SENSEX,23-Jul-2026,CE,77800,20,517.3,09:45,569.75,10:18,-1049.0,₹50 SL,-1056.0,₹50 SL + BE hit,-2080.0,Both: ₹50+BE hit,12.88,13.35,12.81,13.15,2.1
17-07-2026,SENSEX,23-Jul-2026,PE,77800,20,578.95,09:45,579.3,11:08,-7.0,BE Trail,-1056.0,₹50 SL + BE hit,-2080.0,Both: ₹50+BE hit,12.88,13.35,12.81,13.15,2.1
17-07-2026,SENSEX,23-Jul-2026,PE,78000,20,633.85,11:45,632.05,12:51,36.0,BE Trail,-1024.0,₹50 SL + BE hit,-2080.0,Both: ₹50+BE hit,12.88,13.35,12.81,13.15,2.1
17-07-2026,SENSEX,23-Jul-2026,CE,78000,20,483.9,11:45,536.9,12:49,-1060.0,₹50 SL,-1024.0,₹50 SL + BE hit,-2080.0,Both: ₹50+BE hit,12.88,13.35,12.81,13.15,2.1
20-07-2026,SENSEX,23-Jul-2026,CE,77500,20,430.35,09:45,482.0,10:03,-1033.0,₹50 SL,-1023.0,₹50 SL + BE hit,-2076.0,Both: ₹50+BE hit,13.15,13.84,12.89,12.98,-1.29
20-07-2026,SENSEX,23-Jul-2026,PE,77500,20,497.2,09:45,496.7,12:44,10.0,BE Trail,-1023.0,₹50 SL + BE hit,-2076.0,Both: ₹50+BE hit,13.15,13.84,12.89,12.98,-1.29
20-07-2026,SENSEX,23-Jul-2026,CE,77600,20,394.6,11:45,396.0,13:00,-28.0,BE Trail,-1053.0,₹50 SL + BE hit,-2076.0,Both: ₹50+BE hit,13.15,13.84,12.89,12.98,-1.29
20-07-2026,SENSEX,23-Jul-2026,PE,77600,20,488.75,11:45,540.0,12:36,-1025.0,₹50 SL,-1053.0,₹50 SL + BE hit,-2076.0,Both: ₹50+BE hit,13.15,13.84,12.89,12.98,-1.29
21-07-2026,SENSEX,23-Jul-2026,CE,77700,20,326.55,09:45,228.5,15:14,1961.0,EOD,963.0,₹50 SL only,-39.0,Mixed: ₹50+BE + ₹50 SL,12.98,13.08,12.1,12.6,-2.93
21-07-2026,SENSEX,23-Jul-2026,PE,77700,20,376.1,09:45,426.0,10:14,-998.0,₹50 SL,963.0,₹50 SL only,-39.0,Mixed: ₹50+BE + ₹50 SL,12.98,13.08,12.1,12.6,-2.93
21-07-2026,SENSEX,23-Jul-2026,CE,77400,20,360.0,11:45,360.0,13:25,0.0,BE Trail,-1002.0,₹50 SL + BE hit,-39.0,Mixed: ₹50+BE + ₹50 SL,12.98,13.08,12.1,12.6,-2.93
21-07-2026,SENSEX,23-Jul-2026,PE,77400,20,340.9,11:45,391.0,13:00,-1002.0,₹50 SL,-1002.0,₹50 SL + BE hit,-39.0,Mixed: ₹50+BE + ₹50 SL,12.98,13.08,12.1,12.6,-2.93
22-07-2026,SENSEX,23-Jul-2026,CE,76900,20,302.95,09:45,184.0,15:14,2379.0,EOD,1375.0,₹50 SL only,2168.0,Both: ₹50 SL only,12.6,13.43,11.73,13.29,5.48
22-07-2026,SENSEX,23-Jul-2026,CE,76900,20,274.25,11:45,183.95,15:14,1806.0,EOD,793.0,₹50 SL only,2168.0,Both: ₹50 SL only,12.6,13.43,11.73,13.29,5.48
22-07-2026,SENSEX,23-Jul-2026,PE,76900,20,269.3,09:45,319.5,10:25,-1004.0,₹50 SL,1375.0,₹50 SL only,2168.0,Both: ₹50 SL only,12.6,13.43,11.73,13.29,5.48
22-07-2026,SENSEX,23-Jul-2026,PE,76900,20,264.3,11:45,314.95,12:00,-1013.0,₹50 SL,793.0,₹50 SL only,2168.0,Both: ₹50 SL only,12.6,13.43,11.73,13.29,5.48
23-07-2026,SENSEX,23-Jul-2026,CE,76500,20,128.2,09:45,178.0,10:01,-996.0,₹50 SL,-1080.0,₹50 SL + BE hit,-52.0,Mixed: ₹50+BE + ₹50 SL,13.2925,13.74,12.915,13.475,1.37
23-07-2026,SENSEX,23-Jul-2026,PE,76500,20,183.8,09:45,188.0,12:40,-84.0,BE Trail,-1080.0,₹50 SL + BE hit,-52.0,Mixed: ₹50+BE + ₹50 SL,13.2925,13.74,12.915,13.475,1.37
23-07-2026,SENSEX,23-Jul-2026,PE,76600,20,129.4,11:45,179.0,12:30,-992.0,₹50 SL,1028.0,₹50 SL only,-52.0,Mixed: ₹50+BE + ₹50 SL,13.2925,13.74,12.915,13.475,1.37
23-07-2026,SENSEX,23-Jul-2026,CE,76600,20,101.2,11:45,0.2,15:14,2020.0,EOD,1028.0,₹50 SL only,-52.0,Mixed: ₹50+BE + ₹50 SL,13.2925,13.74,12.915,13.475,1.37
